female,male,site,block,height,volume,rust,stemform
154,0,101,19,25,1.2109794617,0,3
154,0,101,1,25.5,1.2840385437,0,4
154,0,101,9,27,1.4110717773,0,2
161,0,101,18,20,0.9002122879,0,5
161,0,101,10,22,0.8690667152,0,3
161,0,101,15,25,1.1168375015,0,3
161,0,101,19,18,0.3104884624,0,4
161,0,101,13,25,1.4110326767,0,2
161,0,101,4,29.5,1.7208585739,0,1
161,0,101,11,27.5,1.4365787506,0,2
161,0,101,14,26,1.2580709457,0,5
161,0,101,8,22.5,0.9273271561,0,4
161,0,101,3,26.5,2.2296295166,0,4
161,0,101,7,27,1.6943817139,0,3
161,0,101,17,28.5,1.8498048782,0,3
161,0,101,1,24,0.9450082779,0,6
161,0,101,9,27.5,1.7251348495,0,5
161,0,101,6,26,1.4661254883,0,4
161,0,101,20,22,1.0278530121,0,3
161,0,101,12,20,0.5707135201,0,3
161,0,101,5,24,0.9869017601,0,5
161,0,101,2,20,0.5707135201,0,5
161,0,101,16,25,1.4634971619,0,4
162,0,101,19,21,0.7952628136,0,4
162,0,101,17,22.5,0.7755222321,0,3
162,0,101,3,18,0.3514404297,0,4
162,0,101,16,20,0.4608809948,0,4
162,0,101,6,25.5,1.3345518112,0,3
162,0,101,14,22,0.9467339516,0,4
162,0,101,8,15,0.2481781244,0,6
162,0,101,20,23,0.9882354736,0,5
162,0,101,9,28.5,1.4311361313,0,4
162,0,101,5,24,0.9450082779,0,5
162,0,101,11,21.5,0.6750841141,0,3
162,0,101,4,21.5,0.8876109123,0,4
162,0,101,13,23.5,1.1403436661,0,4
162,0,101,18,23,1.0301876068,0,3
162,0,101,1,17.5,0.2314089537,0,4
162,0,101,12,24.5,1.1408243179,0,4
162,0,101,2,24,1.118229866,0,3
162,0,101,15,23.5,0.8859238625,0,4
162,0,101,10,24.5,1.4872779846,0,5
164,0,101,20,23,1.2534809113,0,2
164,0,101,4,26,1.20860672,0,3
164,0,101,14,25.5,1.2345256805,0,4
164,0,101,7,25.5,1.7161521912,0,4
164,0,101,8,23.5,0.7711586952,0,3
164,0,101,10,23,1.0730419159,0,4
164,0,101,16,23.5,1.0089855194,0,3
164,0,101,15,27,1.7542209625,0,2
164,0,101,11,24.5,1.2350053787,0,3
164,0,101,12,26,1.8088035583,0,5
164,0,101,17,27,1.3575868607,0,3
164,0,101,3,21.5,0.8876109123,0,6
164,0,101,13,25.5,1.3860654831,0,2
164,0,101,5,25,1.3595485687,0,3
164,0,101,2,27,1.3575868607,0,5
164,0,101,9,27,1.6356010437,0,3
164,0,101,6,24,1.4576129913,0,3
164,0,101,18,28,1.7558879852,0,2
164,0,101,1,29,1.4556522369,0,2
164,0,101,19,24.5,1.0067596436,0,3
173,0,101,7,23,0.9882354736,0,5
173,0,101,14,22,0.8690667152,0,6
173,0,101,11,23,0.9882354736,0,3
173,0,101,12,23.5,0.8084917068,0,2
173,0,101,10,23,0.9882354736,0,3
173,0,101,4,24,1.118229866,0,3
173,0,101,20,25.5,1.5466070175,0,5
173,0,101,5,19,0.7227339745,0,6
173,0,101,15,21,0.7952628136,0,4
173,0,101,16,22.5,0.8121495247,0,4
173,0,101,9,23.5,0.734746933,0,2
173,0,101,19,26,1.8694858551,0,5
173,0,101,2,17.5,0.3426146507,0,6
173,0,101,3,28,1.1457662582,0,5
173,0,101,17,19.5,0.808177948,0,5
173,0,101,8,20.5,0.5547881126,0,4
173,0,101,6,23.5,1.0518493652,0,3
173,0,101,1,24,0.7134180069,1,4
173,0,101,18,19.5,0.708357811,0,3
182,0,101,12,27,1.4110717773,0,3
182,0,101,11,28,1.7558879852,0,4
182,0,101,7,20,0.6613259315,0,3
182,0,101,8,24.5,1.0067596436,0,4
182,0,101,6,16,0.4633131027,0,5
182,0,101,18,15.5,0.649312973,0,6
182,0,101,20,16.5,0.3861260414,0,6
182,0,101,15,17,0.3337888718,0,4
182,0,101,14,24.5,0.5891890526,0,3
182,0,101,3,27,1.1542396545,0,3
182,0,101,4,16,0.2458441257,1,6
182,0,101,19,27.5,1.4921321869,0,2
182,0,101,1,28.5,2.1136379242,0,5
182,0,101,13,24,1.0297365189,0,4
182,0,101,5,24,1.118229866,0,5
182,0,101,17,17,0.3751330376,0,4
496,0,101,5,24,0.9869017601,0,2
496,0,101,12,26,1.7491407394,0,2
496,0,101,11,25,0.9829788208,0,3
496,0,101,17,23.5,0.8467469215,0,5
496,0,101,4,24.5,1.4349012375,0,3
496,0,101,20,20.5,0.7429552078,0,4
496,0,101,13,29,1.8816661835,0,3
496,0,101,16,28.5,1.4311361313,0,2
