site,block,female,male,height,rust,volume
1,9,C10010,0,16,0,27.97
1,9,C10011,0,14.1,1,23.53
1,9,C10012,0,16,1,29.76
1,9,C10013,0,16.1,0,21.56
1,9,C10014,0,14.8,0,22.99
1,9,C10016,0,14.4,0,23.96
1,9,C10017,0,14.2,1,23.67
1,9,C10018,0,15.6,0,30.91
1,9,C10020,0,16.3,0,21.79
1,9,C10021,0,16.5,0,34.47
1,9,C10022,0,11.2,1,8.99
1,9,C10023,0,14.1,1,22.07
1,9,C10024,0,14,0,23.39
1,9,C10025,0,14.5,1,32.49
1,9,C10026,0,14.9,1,26.28
1,9,C10027,0,17,1,35.41
1,9,C10028,0,15,0,31.64
1,9,C10029,0,16.6,0,32.67
1,9,C10030,0,14.5,1,25.67
1,9,C10031,0,13,1,15.71
1,9,C10032,0,16.5,0,36.51
1,9,C10033,0,15.1,1,24.96
1,9,C10034,0,14,0,20.53
1,9,C10035,0,14,0,28.08
1,9,C10036,0,14.6,1,19.86
1,9,C10037,0,14.2,1,20.78
1,9,C10038,0,17.7,1,43.5
1,9,C10039,0,12.5,0,18.69
1,9,C10040,0,16.6,0,34.66
1,9,C10041,0,16,0,26.25
1,9,C10042,0,15,0,28.11
1,9,C10043,0,15.9,0,33.34
1,9,C10044,0,10.5,0,9.32
1,9,C10045,0,14,1,16.66
1,9,C10046,0,14.5,0,30.7
1,9,C10047,0,13.6,0,24.28
1,9,C10048,0,14,0,13.28
1,9,C10756,0,16.5,0,36.51
1,9,C17100,0,13.6,0,20.04
1,9,C10049,0,15.4,0,28.77
1,9,C10050,0,16,0,31.61
1,9,C10051,0,13,0,15.71
1,9,C10052,0,12.5,1,15.24
1,9,C10054,0,12.5,0,13.18
1,9,C10055,0,12.1,0,17.04
1,9,C10056,0,14.5,0,18.41
1,9,C10057,0,12,0,15.82
1,9,C10058,0,10.5,0,10.04
1,9,C10059,0,13.5,1,16.19
1,9,C10060,0,16,0,24.58
1,9,c10061,0,14,1,16.66
1,9,C10062,0,13.1,0,19.43
1,9,C10063,0,15,0,26.44
1,9,C10064,0,12.6,1,15.33
1,9,C10065,0,13.9,0,27.91
1,9,C10066,0,15.1,0,24.96
1,9,C10067,0,16.5,1,26.96
1,9,C10068,0,14.5,0,32.49
1,9,C10069,0,14.1,0,25.05
1,9,C10070,0,16,0,27.97
1,9,C10071,0,12.8,0,15.52
1,9,C10072,0,13,1,15.71
1,9,C10073,0,15.2,1,28.44
1,9,C10074,0,14.5,1,19.75
1,10,C1001,0,15.3,0,22.13
1,10,C1002,0,13.5,1,24.13
1,10,C1003,0,14.5,0,18.41
1,10,C1004,0,13.5,1,15.05
1,10,C1005,0,19,0,32.59
1,10,C1006,0,12,1,11
1,10,C1007,0,15.7,1,22.62
1,10,C1008,0,18,0,39.52
1,10,C1009,0,12,0,11.87
1,10,C10010,0,13,0,16.86
1,10,C10011,0,10.6,0,8.05
1,10,C10012,0,16.3,0,34.09
1,10,C10013,0,11.5,1,11.51
1,10,C10014,0,15.2,0,19.14
1,10,C10015,0,11.6,1,11.58
1,10,C10016,0,14.2,0,14.51
1,10,C10017,0,15.6,0,29.1
1,10,C10018,0,15,0,21.76
1,10,C10020,0,17,0,41.91
1,10,C10021,0,14.1,0,28.26
1,10,C10022,0,13,1,7.68
1,10,C10023,0,15,0,31.64
1,10,C10024,0,16.1,0,35.71
1,10,C10025,0,12.4,0,14.1
1,10,C10026,0,15,1,15.14
1,10,C10027,0,11,1,11.16
1,10,C10028,0,13.5,0,18.62
1,10,C10029,0,16.8,0,37.11
1,10,C10030,0,16.5,0,28.74
1,10,C10031,0,16.9,1,35.22
1,10,C10032,0,12,0,11.87
1,10,C10033,0,13.7,0,13.07
1,10,C10034,0,13.1,0,13.65
1,10,C10035,0,15.5,0,27.2
1,10,C10036,0,14.9,1,24.67
1,10,C10037,0,14.4,0,21.02
1,10,C10038,0,16.6,0,25.38
1,10,C10039,0,12,0,9.4
1,10,C10040,0,16.5,0,38.61
1,10,C10041,0,14.8,0,22.99
1,10,C10042,0,14.1,1,22.07
1,10,C10043,0,14.5,0,24.1
1,10,C10044,0,14.5,0,21.15
1,10,C10045,0,15.5,1,32.59
1,10,C10046,0,12.9,0,14.53
1,10,C10047,0,14.5,0,24.1
1,10,C10048,0,11.7,1,10
1,10,C10756,0,14,0,26.46
1,10,C17100,0,16,1,31.61
1,10,C10049,0,13.3,0,19.67
1,10,C10050,0,19.1,1,49.26
1,10,C10051,0,10.5,1,10.04
1,10,C10052,0,11.6,1,9.95
1,10,C10054,0,13.9,1,19.07
1,10,C10056,0,15.7,0,29.27
1,10,C10057,0,14.7,1,25.97
1,10,C10058,0,15.5,0,27.2
1,10,C10059,0,15.5,0,30.73
