Year,Progeny,female,male,cross,r,DTA,PltHt
2013,2959,170_7,171_13,170_7x171_13,1,76,245
2013,2960,167_5,166_9,166_9x167_5,-1,74,230
2013,2961,166_9,164_1,164_1x166_9,-1,75,240
2013,2962,164_4,166_11,164_4x166_11,1,75,260
2013,2964,169_11,170_4,169_11x170_4,1,68,250
2013,2965,171_5,170_7,170_7x171_5,-1,66,235
2013,2966,171_10,169_12,169_12x171_10,-1,72,200
2013,2967,168_5,171_7,168_5x171_7,1,NA,NA
2013,2968,165_4,166_11,165_4x166_11,1,80,200
2013,2969,170_11,170_2,170_11x170_2,1,80,265
2013,2970,169_6,164_14,164_14x169_6,-1,NA,NA
2013,2972,165_4,166_11,165_4x166_11,1,73,265
2013,2974,164_14,169_6,164_14x169_6,1,71,250
2013,2976,167_5,164_1,164_1x167_5,-1,74,280
2013,2977,171_11,170_1,170_1x171_11,-1,76,245
2013,2979,171_6,167_1,167_1x171_6,-1,76,265
2013,2981,171_5,170_7,170_7x171_5,-1,76,235
2013,2982,164_2,166_12,164_2x166_12,1,73,240
2013,2984,166_12,164_2,164_2x166_12,-1,NA,160
2013,2985,165_4,167_3,165_4x167_3,1,86,275
2013,2986,164_14,166_9,164_14x166_9,1,73,245
2013,2987,170_6,170_2,170_2x170_6,-1,79,245
2013,2988,165_4,166_11,165_4x166_11,1,76,230
2013,2990,164_4,165_4,164_4x165_4,1,81,235
2013,2991,164_11,167_1,164_11x167_1,1,75,240
2013,2992,164_11,170_13,164_11x170_13,1,69,230
2013,2993,171_4,168_5,168_5x171_4,-1,74,235
2013,2995,164_2,166_12,164_2x166_12,1,75,215
2013,2996,171_6,165_10,165_10x171_6,-1,77,250
2013,2997,171_10,164_8,164_8x171_10,-1,71,220
2013,2999,171_8,168_2,168_2x171_8,-1,73,260
2013,3000,171_4,171_7,171_4x171_7,1,75,230
2014,2001,167_3,166_11,166_11x167_3,-1,75,240
2014,2002,164_14,169_6,164_14x169_6,1,85,265
2014,2005,169_11,171_13,169_11x171_13,1,84,NA
2014,2010,164_1,166_9,164_1x166_9,1,78,225
2014,2013,164_2,166_12,164_2x166_12,1,77,230
2014,2015,164_1,169_6,164_1x169_6,1,80,215
2014,2016,164_2,166_12,164_2x166_12,1,79,235
2014,2017,171_4,171_7,171_4x171_7,1,79,235
2014,2018,167_5,169_6,167_5x169_6,1,85,230
2014,2019,165_4,167_3,165_4x167_3,1,81,285
2014,2021,170_2,170_6,170_2x170_6,1,86,250
2014,2025,171_8,168_2,168_2x171_8,-1,74,240
2014,2028,167_5,169_6,167_5x169_6,1,82,275
2014,2029,164_4,165_4,164_4x165_4,1,85,230
