treeid,female,male,prov,block,plot,height,diameter,volume
212.8,212,0,12,2,90,11.4,15.9,0.0865
212.9,212,0,12,2,90,10.8,19.7,0.1257
212.10,212,0,12,2,90,9.9,16.5,0.0809
212.11,212,0,12,2,90,10.4,18.5,0.1068
212.12,212,0,12,2,90,10.9,18.5,0.1119
212.13,212,0,12,3,105,12.5,24.5,0.2251
212.14,212,0,12,3,105,11.8,21.6,0.1652
212.15,212,0,12,3,105,10.4,15,0.0702
212.16,212,0,12,3,105,7.7,12.6,0.0367
212.17,212,0,12,3,105,10.5,19.2,0.1161
212.18,212,0,12,4,192,11.5,18,0.1118
212.19,212,0,12,4,192,10.4,16.7,0.087
212.20,212,0,12,4,192,11.7,22.2,0.173
212.21,212,0,12,4,192,9,15.6,0.0657
212.22,212,0,12,4,192,9.7,16.5,0.0792
212.23,212,0,12,5,215,11.4,18.9,0.1222
212.24,212,0,12,5,215,9.5,17.8,0.0903
212.25,212,0,12,5,215,10.2,17.4,0.0926
212.26,212,0,12,5,215,8.6,18.4,0.0873
212.27,212,0,12,5,215,10,17.5,0.0919
213.1,213,0,12,1,13,12.6,22.7,0.1948
213.2,213,0,12,1,13,11.5,23.5,0.1905
213.3,213,0,12,1,13,11.6,22,0.1684
213.4,213,0,12,1,13,12.2,23.2,0.197
213.5,213,0,12,2,95,12.6,22.4,0.1897
213.6,213,0,12,2,95,11.1,21,0.1469
213.7,213,0,12,2,95,9.9,15.2,0.0686
213.8,213,0,12,2,95,6.9,17.5,0.0634
213.9,213,0,12,2,95,7.6,19.6,0.0876
213.10,213,0,12,3,106,12.6,22.7,0.1948
213.11,213,0,12,3,106,14.6,26.6,0.3099
213.12,213,0,12,3,106,13.8,20.9,0.1808
213.13,213,0,12,3,106,11.8,21.5,0.1636
213.14,213,0,12,3,106,11.6,23.6,0.1938
213.15,213,0,12,4,181,12.3,16.4,0.0992
213.16,213,0,12,4,181,10,13.9,0.058
213.17,213,0,12,4,181,15.2,25.5,0.2965
213.18,213,0,12,4,181,9.2,15.5,0.0663
213.19,213,0,12,4,181,12.4,22.2,0.1833
213.20,213,0,12,5,214,10.3,21,0.1363
213.21,213,0,12,5,214,11,20,0.132
213.22,213,0,12,5,214,12.1,23.4,0.1988
213.23,213,0,12,5,214,10.3,20,0.1236
