tree,female,male,cross,site,rep,col,row,HT05,VOL05
93,16,21,N,1,6,10,35,80.6,53.3
160,17,15,R,1,6,10,36,93.8,124.1
110,16,21,N,1,7,10,37,93.8,91.4
73,6,7,L,1,7,10,38,103.7,129.9
filler,0,0,,1,7,10,39,,
144,17,9,P,1,7,10,40,83.4,77
152,24,1,Q,1,7,10,41,76.8,11.4
filler,0,0,,1,7,10,42,,
filler,0,0,,1,8,10,43,,
filler,0,0,,1,8,10,44,,
73,6,7,L,1,8,10,45,99,148.9
filler,0,0,,1,8,10,46,,
40,23,13,K,1,8,10,47,86.7,49.5
filler,0,0,,1,8,10,48,,
filler,0,0,,1,1,11,1,,
filler,0,0,,1,1,11,2,,
filler,0,0,,1,1,11,3,,
49,6,7,L,1,1,11,4,105.1,107.7
148,24,1,Q,1,1,11,5,109.8,106.5
53,6,7,L,1,1,11,6,84.8,26.6
filler,0,0,,1,2,11,7,,
65,6,7,L,1,2,11,8,111.2,126
73,6,7,L,1,2,11,9,101.3,121.2
98,16,21,N,1,2,11,10,111.2,132.2
151,24,1,Q,1,2,11,11,122.6,173.3
157,17,15,R,1,2,11,12,113.1,168
73,6,7,L,1,3,11,13,112.7,167.4
92,16,21,N,1,3,11,14,103.2,117.4
67,6,7,L,1,3,11,15,100.4,67.4
152,24,1,Q,1,3,11,16,51.8,-6.7
filler,0,0,,1,3,11,17,,
filler,0,0,,1,3,11,18,,
91,16,21,N,1,4,11,19,114.1,104.7
133,0,0,NP,1,4,11,20,114.5,123.2
164,0,0,SP,1,4,11,21,108.4,88.6
filler,0,0,,1,4,11,22,,
162,17,15,R,1,4,11,23,95.7,83
87,16,21,N,1,4,11,24,88.1,63
60,6,7,L,1,5,11,25,99.4,53.3
filler,0,0,,1,5,11,26,,
55,6,7,L,1,5,11,27,125.4,192.4
47,23,13,K,1,5,11,28,108.4,141.7
30,7,24,A,1,5,11,29,102.3,110.6
filler,0,0,,1,5,11,30,,
139,15,6,O,1,6,11,31,124.5,161.1
106,16,21,N,1,6,11,32,107,115.4
filler,0,0,,1,6,11,33,,
148,24,1,Q,1,6,11,34,114.1,62.3
filler,0,0,,1,6,11,35,,
149,24,1,Q,1,6,11,36,109.4,94.8
filler,0,0,,1,7,11,37,,
filler,0,0,,1,7,11,38,,
146,24,1,Q,1,7,11,39,105.6,138.3
153,24,1,Q,1,7,11,40,101.3,87.9
31,22,19,C,1,7,11,41,98,70.4
filler,0,0,,1,7,11,42,,
